condition,prompt_version,mode,model,run_id,image,run_dir,predicted_region,reference_region,region_match,predicted_fracture,reference_fracture,fracture_match,positive_cues,negation_cues,impression_snippet,manual_audit_confirmed,manual_audit_notes
v1,v1,single-agent,qwen3.8-27b,v1-single-agent-qwen3.8-27b,ID003-xray.png,v1/single-agent/qwen3.8-27b,upper_extremity,upper_extremity,True,True,True,True,displaced fracture,,No definite displaced fracture or dislocation is seen. Subtle mid-forearm cortical irregularities are present (faint transverse lucent line in the ulna mid-shaft and focal cortical thickening in the radius mid-shaft at a similar level); a subtle or non-displaced both-bone forearm fracture cannot be ,,
v2-pilot,v2,single,gemma4-26b,20260917-231907-ID001-r1,ID001-xray.png,v2-pilot/01-sem-retomadas/single-agent/gemma4-26b/20260917-231907-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,v2,single,gemma4-26b,20260917-232029-ID002-r1,ID002-xray.png,v2-pilot/01-sem-retomadas/single-agent/gemma4-26b/20260917-232029-ID002-r1,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,v2,single,gemma4-26b,20260917-232138-ID003-r1,ID003-xray.png,v2-pilot/01-sem-retomadas/single-agent/gemma4-26b/20260917-232138-ID003-r1,indeterminate,upper_extremity,False,,True,False,,,,,
v2-pilot,v2,single,qwen3.6-27b,20260917-231907-ID001-r1,ID001-xray.png,v2-pilot/01-sem-retomadas/single-agent/qwen3.6-27b/20260917-231907-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,v2,single,qwen3.8-27b,20260917-231907-ID001-r1,ID001-xray.png,v2-pilot/01-sem-retomadas/single-agent/qwen3.8-27b/20260917-231907-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,unknown,02-diretorio-errado,escritos-fora-da-rodada,escritos-fora-da-rodada,ID001-xray.png,v2-pilot/02-diretorio-errado/escritos-fora-da-rodada,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,unknown,02-diretorio-errado,escritos-fora-da-rodada,escritos-fora-da-rodada,ID003-xray.png,v2-pilot/02-diretorio-errado/escritos-fora-da-rodada,indeterminate,upper_extremity,False,,True,False,,,,,
v1-runner,v1,single,qwen3.6-27b,20260917-234221-ID001-r1,ID001-xray.png,v2-pilot/02-diretorio-errado/v1-runner/single-agent/qwen3.6-27b/20260917-234221-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
v1-runner,v1,single,qwen3.8-27b,20260917-234221-ID001-r1,ID001-xray.png,v2-pilot/02-diretorio-errado/v1-runner/single-agent/qwen3.8-27b/20260917-234221-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
v2-pilot,v2,single,gemma4-26b,20260917-233336-ID001-r1,ID001-xray.png,v2-pilot/02-diretorio-errado/v2/single-agent/gemma4-26b/20260917-233336-ID001-r1,lower_extremity,lower_extremity,True,False,,,,,Possible non-displaced distal fibular fracture. Correlation with additional views (AP/Mortise) is recommended.,,
v2-pilot,v2,single,gemma4-26b,20260917-233827-ID002-r1,ID002-xray.png,v2-pilot/02-diretorio-errado/v2/single-agent/gemma4-26b/20260917-233827-ID002-r1,upper_extremity,lower_extremity,False,,,,,,Normal lateral radiograph of the forearm and elbow.,,
v2-pilot,v2,single,qwen3.6-27b,20260917-233336-ID001-r1,ID001-xray.png,v2-pilot/02-diretorio-errado/v2/single-agent/qwen3.6-27b/20260917-233336-ID001-r1,lower_extremity,lower_extremity,True,False,,,,,No definite acute fracture or dislocation identified on this single lateral foot and ankle radiograph. A subtle fracture cannot be excluded given the single-view limitation.,,
v2-pilot,v2,single,qwen3.8-27b,20260917-233336-ID001-r1,ID001-xray.png,v2-pilot/02-diretorio-errado/v2/single-agent/qwen3.8-27b/20260917-233336-ID001-r1,indeterminate,lower_extremity,False,,,,,,,,
